Albumin,3.4-5.4(g/dL),3.4-5.4(g/dL)
AlkalinePhosphatase,44-147(IU/L),44-147(IU/L)
ALT (alanine aminotransferase),7-40(IU/L),7-40(IU/L)
AST (aspartate aminotransferase),10-34(IU/L),10-34(IU/L)
BUN (blood urea nitrogen),6-20 mg/dL,6-20 mg/dL
Calcium,8.5-10.2(mg/dL),8.5-10.2(mg/dL)
Chloride,96-106(mmol/L),96-106(mmol/L)
CO2,23-29(mmol/L),23-29(mmol/L)
Creatinine,0.6-1.3(mg/dL),0.7-1.3 (mg/dL)
Glucose,70-100 (mg/dL),70-100 (mg/dL)
Potassium,3.7-5.2(mEq/L),3.7-5.2(mEq/L)
Sodium,135-145(mEq/L),135-145(mEq/L)
Total bilirubin,0.3-1.9(mg/dL),0.3-1.9(mg/dL)
Total protein,6.0-8.3(g/dL),6.0-8.3(g/dL)
